lat,lon,year,potential_evaporation
45.25,7.75,1985,783.7460367679596
45.25,7.75,1986,754.2757339477539
45.25,7.75,1987,792.758457660675
45.25,7.75,1988,719.5414998531342
45.25,7.75,1989,838.350284576416
45.25,7.75,1990,838.9842214584351
45.25,7.75,1991,895.5080347061157
45.25,7.75,1992,712.1010217666626
45.25,7.75,1993,785.9348001480103
45.25,7.75,1994,784.7360110282898
45.25,7.75,1995,781.4987411499023
45.25,7.75,1996,755.667727470398
45.25,7.75,1997,833.5112071037292
45.25,7.75,1998,879.7324347496033
45.25,7.75,1999,770.4472317695618
45.25,7.75,2000,815.6970481872559
45.25,7.75,2001,858.0136904716492
45.25,7.75,2002,701.9318242073059
45.25,7.75,2003,1055.7761449813843
45.25,7.75,2004,897.4796957969666
45.25,7.75,2005,864.1372194290161
45.25,7.75,2006,944.6185464859009
45.25,7.75,2007,852.6826910972595
45.25,7.75,2008,746.3914952278137
45.25,7.75,2009,901.1001715660095
45.25,7.75,2010,782.4157810211182
45.25,7.75,2011,850.9473714828491
45.25,7.75,2012,782.1870765686035
45.25,7.75,2013,844.1890325546265
45.25,7.75,2014,753.0398502349854
45.25,7.75,2015,798.6966981887817
45.25,7.75,2016,866.1146945953369
45.25,8.25,1982,873.3280553817749
45.25,8.25,1983,868.1312484741211
45.25,8.25,1984,848.8366515636444
45.25,8.25,1985,930.375593662262
45.25,8.25,1986,909.2596154212952
45.25,8.25,1987,941.6938891410828
45.25,8.25,1988,861.909848690033
45.25,8.25,1989,998.8471913337708
45.25,8.25,1990,1009.526086807251
45.25,8.25,1991,1130.6867027282715
45.25,8.25,1992,835.1481657028198
45.25,8.25,1993,940.787585735321
45.25,8.25,1994,952.5515141487122
45.25,8.25,1995,921.9419603347778
45.25,8.25,1996,922.8492202758789
45.25,8.25,1997,1005.8593001365662
45.25,8.25,1998,1046.3348641395569
45.25,8.25,1999,947.2567911148071
45.25,8.25,2000,973.5588583946228
45.25,8.25,2001,1036.970338344574
45.25,8.25,2002,820.7008633613586
45.25,8.25,2003,1318.3368158340454
45.25,8.25,2004,1143.272581577301
45.25,8.25,2005,1057.612536907196
45.25,8.25,2006,1186.1808605194092
45.25,8.25,2007,1044.2137355804443
45.25,8.25,2008,867.4103927612305
45.25,8.25,2009,1122.2909021377563
45.25,8.25,2010,938.4022698402405
45.25,8.25,2011,1047.6509900093079
45.25,8.25,2012,974.433545589447
45.25,8.25,2013,943.9455823898315
45.25,8.25,2014,889.1273441314697
45.25,8.25,2015,942.5421285629272
45.25,8.25,2016,996.390908241272
45.25,8.75,1982,832.1562271118164
45.25,8.75,1983,825.7620196342468
45.25,8.75,1984,794.9332585334778
45.25,8.75,1985,880.9221715927124
45.25,8.75,1986,844.5852661132812
45.25,8.75,1987,923.761022567749
45.25,8.75,1988,843.8228793144226
45.25,8.75,1989,933.2050256729126
45.25,8.75,1990,960.0568566322327
45.25,8.75,1991,1061.3820753097534
45.25,8.75,1992,822.5763640403748
45.25,8.75,1993,910.1941838264465
45.25,8.75,1994,861.4531989097595
45.25,8.75,1995,887.7531304359436
45.25,8.75,1996,887.5504488945007
45.25,8.75,1997,954.6763100624084
45.25,8.75,1998,1012.3103098869324
45.25,8.75,1999,935.0190644264221
45.25,8.75,2000,944.0936160087585
45.25,8.75,2001,1005.8103604316711
45.25,8.75,2002,804.4702296257019
45.25,8.75,2003,1187.1141872406006
45.25,8.75,2004,1071.2689366340637
45.25,8.75,2005,1009.8381395339966
45.25,8.75,2006,1112.640733718872
45.25,8.75,2007,1005.529718875885
45.25,8.75,2008,841.4540514945984
45.25,8.75,2009,1050.885793209076
45.25,8.75,2010,913.00182056427
45.25,8.75,2011,984.6339349746704
45.25,8.75,2012,984.0277810096741
45.25,8.75,2013,906.2632050514221
45.25,8.75,2014,840.9161014556885
45.25,8.75,2015,908.6888694763184
45.25,8.75,2016,942.4680018424988
45.25,9.25,1982,838.5349335670471
45.25,9.25,1983,834.9964151382446
45.25,9.25,1984,791.4000606536865
45.25,9.25,1985,891.5664978027344
45.25,9.25,1986,825.6652188301086
45.25,9.25,1987,921.7349104881287
45.25,9.25,1988,825.0060195922852
45.25,9.25,1989,884.6422181129456
45.25,9.25,1990,917.6278071403503
45.25,9.25,1991,1007.3199424743652
45.25,9.25,1992,854.1777033805847
45.25,9.25,1993,905.6685152053833
45.25,9.25,1994,888.7587404251099
45.25,9.25,1995,880.4848413467407
45.25,9.25,1996,906.7940340042114
45.25,9.25,1997,947.5416283607483
45.25,9.25,1998,1010.2456140518188
45.25,9.25,1999,939.8191947937012
45.25,9.25,2000,952.2858324050903
45.25,9.25,2001,997.3046169281006
45.25,9.25,2002,792.5648059844971
45.25,9.25,2003,1156.5531306266785
45.25,9.25,2004,1018.8832893371582
45.25,9.25,2005,966.2449984550476
45.25,9.25,2006,1076.0545592308044
45.25,9.25,2007,1000.8073019981384
45.25,9.25,2008,848.4166779518127
45.25,9.25,2009,1039.6102051734924
45.25,9.25,2010,864.6632800102234
45.25,9.25,2011,953.9807281494141
45.25,9.25,2012,993.8133153915405
45.25,9.25,2013,891.5740747451782
45.25,9.25,2014,811.4752235412598
45.25,9.25,2015,924.769519329071
45.25,9.25,2016,898.9454236030579
45.25,9.75,1982,878.3426132202148
45.25,9.75,1983,883.6107530593872
45.25,9.75,1984,829.5531091690063
45.25,9.75,1985,941.7513279914856
45.25,9.75,1986,871.3479943275452
45.25,9.75,1987,944.4555163383484
45.25,9.75,1988,866.2713961601257
45.25,9.75,1989,878.8521370887756
45.25,9.75,1990,932.9005489349365
45.25,9.75,1991,1022.7569055557251
45.25,9.75,1992,931.2385425567627
45.25,9.75,1993,973.9212331771851
45.25,9.75,1994,952.1447329521179
45.25,9.75,1995,897.2351698875427
45.25,9.75,1996,955.5987901687622
45.25,9.75,1997,993.0579347610474
45.25,9.75,1998,1056.7767176628113
45.25,9.75,1999,961.3358173370361
45.25,9.75,2000,1003.8297338485718
45.25,9.75,2001,1035.8025932312012
45.25,9.75,2002,826.5756387710571
