lat,lon,year,yield_maize
44.75,9.75,1996,10.53755
44.75,9.75,1997,11.484225
44.75,9.75,1998,10.362814
44.75,9.75,1999,11.846011
44.75,9.75,2000,10.815501
44.75,9.75,2001,11.74954
44.75,9.75,2002,11.823887
44.75,9.75,2003,8.40532
44.75,9.75,2004,11.523672
44.75,9.75,2005,11.572678
44.75,9.75,2006,10.415113
44.75,9.75,2007,10.505068
44.75,9.75,2008,10.710682
44.75,9.75,2009,9.387383
44.75,9.75,2010,10.641319
44.75,9.75,2011,11.101758
44.75,9.75,2012,10.229958
44.75,9.75,2013,10.138628
44.75,9.75,2014,12.094712
44.75,9.75,2015,10.680388
44.75,9.75,2016,11.694429
44.75,10.25,1982,8.048808
44.75,10.25,1983,7.294209
44.75,10.25,1984,9.13876
44.75,10.25,1985,6.917216
44.75,10.25,1986,8.0362625
44.75,10.25,1987,8.664323
44.75,10.25,1988,7.3040943
44.75,10.25,1989,8.12549
44.75,10.25,1990,8.075754
44.75,10.25,1991,7.203411
44.75,10.25,1992,9.544382
44.75,10.25,1993,8.948782
44.75,10.25,1994,9.366039
44.75,10.25,1995,9.874674
44.75,10.25,1996,9.016626
44.75,10.25,1997,10.135141
44.75,10.25,1998,9.519188
44.75,10.25,1999,10.389609
44.75,10.25,2000,9.70156
44.75,10.25,2001,10.215011
44.75,10.25,2002,10.438927
44.75,10.25,2003,7.031878
44.75,10.25,2004,10.64935
44.75,10.25,2005,9.976009
44.75,10.25,2006,8.970448
44.75,10.25,2007,8.913197
44.75,10.25,2008,9.756095
44.75,10.25,2009,7.7964973
44.75,10.25,2010,9.180492
44.75,10.25,2011,9.885979
44.75,10.25,2012,8.479793
44.75,10.25,2013,7.947114
44.75,10.25,2014,10.185434
44.75,10.25,2015,9.033492
44.75,10.25,2016,10.032301
44.75,10.75,1982,6.529441
44.75,10.75,1983,6.040759
44.75,10.75,1984,7.6728196
44.75,10.75,1985,6.0882926
44.75,10.75,1986,6.992269
44.75,10.75,1987,7.9430475
44.75,10.75,1988,6.743355
44.75,10.75,1989,7.6290116
44.75,10.75,1990,7.126914
44.75,10.75,1991,6.5016103
44.75,10.75,1992,7.9697247
44.75,10.75,1993,7.7186694
44.75,10.75,1994,7.4557667
44.75,10.75,1995,8.202107
44.75,10.75,1996,8.437941
44.75,10.75,1997,8.724642
44.75,10.75,1998,8.556206
44.75,10.75,1999,9.144942
44.75,10.75,2000,8.998391
44.75,10.75,2001,8.902874
44.75,10.75,2002,9.106455
44.75,10.75,2003,6.1968193
44.75,10.75,2004,8.922131
44.75,10.75,2005,8.755449
44.75,10.75,2006,7.9869184
44.75,10.75,2007,7.832479
44.75,10.75,2008,8.77474
44.75,10.75,2009,6.610488
44.75,10.75,2010,8.229739
44.75,10.75,2011,8.105278
44.75,10.75,2012,7.200359
44.75,10.75,2013,6.7432437
44.75,10.75,2014,9.125008
44.75,10.75,2015,7.3676295
44.75,10.75,2016,9.31126
44.75,11.25,1982,5.347466
44.75,11.25,1983,5.3226523
44.75,11.25,1984,6.171896
44.75,11.25,1985,4.597615
44.75,11.25,1986,5.6098714
44.75,11.25,1987,6.5428014
44.75,11.25,1988,5.818292
44.75,11.25,1989,6.76138
44.75,11.25,1990,5.76847
44.75,11.25,1991,5.813603
44.75,11.25,1992,7.018479
44.75,11.25,1993,6.558454
44.75,11.25,1994,6.0673246
44.75,11.25,1995,6.6971292
44.75,11.25,1996,6.9268594
44.75,11.25,1997,7.0135884
44.75,11.25,1998,7.5414915
44.75,11.25,1999,7.7809815
44.75,11.25,2000,7.9165525
44.75,11.25,2001,7.8201804
44.75,11.25,2002,7.7088223
44.75,11.25,2003,5.594903
44.75,11.25,2004,7.243896
44.75,11.25,2005,7.748452
44.75,11.25,2006,6.4754553
44.75,11.25,2007,6.3224487
44.75,11.25,2008,7.6552844
44.75,11.25,2009,5.8685484
44.75,11.25,2010,7.225029
44.75,11.25,2011,7.2186074
44.75,11.25,2012,6.06086
44.75,11.25,2013,6.128215
44.75,11.25,2014,8.2367
44.75,11.25,2015,7.220309
44.75,11.25,2016,8.042383
44.75,11.75,1982,4.776486
44.75,11.75,1983,4.691135
44.75,11.75,1984,5.7373586
44.75,11.75,1985,4.135002
44.75,11.75,1986,5.3677034
44.75,11.75,1987,6.393576
44.75,11.75,1988,5.7875357
44.75,11.75,1989,6.0688987
44.75,11.75,1990,5.330889
44.75,11.75,1991,5.381879
44.75,11.75,1992,6.6475587
44.75,11.75,1993,6.1816645
44.75,11.75,1994,5.684067
44.75,11.75,1995,6.52648
44.75,11.75,1996,6.647959
44.75,11.75,1997,7.0445166
44.75,11.75,1998,7.2852216
44.75,11.75,1999,7.454269
44.75,11.75,2000,7.595192
44.75,11.75,2001,7.204696
44.75,11.75,2002,7.3709073
44.75,11.75,2003,5.0767503
44.75,11.75,2004,6.9317207
44.75,11.75,2005,7.447814
44.75,11.75,2006,6.290365
44.75,11.75,2007,6.1028895
44.75,11.75,2008,7.3938384
44.75,11.75,2009,5.750355
44.75,11.75,2010,6.905623
44.75,11.75,2011,7.379421
44.75,11.75,2012,5.063199
44.75,11.75,2013,6.219539
44.75,11.75,2014,8.396991
44.75,11.75,2015,7.5143175
44.75,11.75,2016,7.700001
45.25,6.75,1982,7.8784366
45.25,6.75,1983,6.947378
45.25,6.75,1984,6.6612453
45.25,6.75,1985,8.790056
45.25,6.75,1986,7.320848
45.25,6.75,1987,8.507966
45.25,6.75,1988,8.439713
45.25,6.75,1989,9.155307
45.25,6.75,1990,7.5517244
45.25,6.75,1991,8.749373
45.25,6.75,1992,8.119932
45.25,6.75,1993,10.933222
45.25,6.75,1994,10.20344
45.25,6.75,1995,10.147499
45.25,6.75,1996,10.688586
45.25,6.75,1997,12.626323
45.25,6.75,1998,11.139484
45.25,6.75,1999,11.075952
45.25,6.75,2000,12.617807
45.25,6.75,2001,11.394487
45.25,6.75,2002,11.3142
45.25,6.75,2003,9.817698
45.25,6.75,2004,11.243895
45.25,6.75,2005,11.085302
45.25,6.75,2006,11.676836
45.25,6.75,2007,13.17206
45.25,6.75,2008,11.774977
45.25,6.75,2009,11.942329
45.25,6.75,2010,11.333404
45.25,6.75,2011,13.7700815
45.25,6.75,2012,12.029385
45.25,6.75,2013,9.708828
45.25,6.75,2014,11.374426
45.25,6.75,2015,10.577057
45.25,6.75,2016,11.553039
45.25,7.25,1982,9.112593
45.25,7.25,1983,9.432928
45.25,7.25,1984,7.8236375
45.25,7.25,1985,10.28186
45.25,7.25,1986,8.859786
45.25,7.25,1987,9.433005
45.25,7.25,1988,10.106829
45.25,7.25,1989,10.541563
45.25,7.25,1990,8.953288
45.25,7.25,1991,10.086839
45.25,7.25,1992,9.751954
45.25,7.25,1993,12.681226
45.25,7.25,1994,10.664064
45.25,7.25,1995,12.841727
45.25,7.25,1996,12.894744
45.25,7.25,1997,14.89348
45.25,7.25,1998,13.670374
45.25,7.25,1999,13.024647
45.25,7.25,2000,14.018298
45.25,7.25,2001,13.611077
45.25,7.25,2002,12.538793
45.25,7.25,2003,12.097883
45.25,7.25,2004,13.584673
45.25,7.25,2005,13.260273
45.25,7.25,2006,13.239403
