year,lat,lon,yield_wheat_spring,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
2015,45.75,9.75,3.1377308,15.170341722326341,522.1206947565079,0.3810736825263578,2378183451.0,931.6858901977539
2016,45.75,9.75,4.014346,13.880848442027771,754.2378284931183,0.39796605043941075,2340075346.0,845.673173904419
1982,45.75,10.25,2.807812,11.888957134259293,566.964252948761,0.3603615484206505,2236490142.0,974.6594095230103
1983,45.75,10.25,2.5183334,12.213812273312238,616.5699410438538,0.36354517293911354,2206353746.0,952.7536289691925
1984,45.75,10.25,3.3424952,10.203082302816552,632.9697332382202,0.3663710229147493,2195440413.0,928.2869846820831
1985,45.75,10.25,3.238453,10.98193312626259,738.6878123283386,0.3777998216401518,2125727075.0,865.9668917655945
1986,45.75,10.25,2.9137554,11.795871304530724,674.181131362915,0.3735612823682673,2074396657.0,852.3415191173553
1987,45.75,10.25,3.3348093,10.647992623008154,670.1609760522842,0.374100151015263,2262472885.0,936.9265537261963
1988,45.75,10.25,2.505924,11.680662039837806,657.9372129440308,0.3767060448531232,2182515923.0,871.6582880020142
1989,45.75,10.25,3.0680647,11.790954100540262,731.7173697948456,0.37547514232155543,2242217266.0,899.3152122497559
1990,45.75,10.25,2.9098752,12.403776209338817,572.4150898456573,0.364073588762408,2313631078.0,983.8371653556824
1991,45.75,10.25,3.8044868,11.713049885494257,621.9861986637115,0.3704262414788888,2274083594.0,950.3498294353485
1992,45.75,10.25,3.3378618,11.995411386676864,583.029260635376,0.360326792679581,2205663442.0,936.1688537597656
1993,45.75,10.25,3.823903,11.982020725611768,595.5646600723267,0.36511767981878296,2363081961.0,1029.9994897842407
1994,45.75,10.25,3.4682858,13.204878754085964,455.03975161910057,0.3542124192699108,2356162574.0,1067.607286453247
1995,45.75,10.25,2.7736115,11.634785112991832,593.9373531341553,0.36645083509239496,2343019789.0,971.8297209739685
1996,45.75,10.25,3.6471002,11.724772568621667,528.3701959848404,0.3616532360027039,2285070787.0,1005.072434425354
1997,45.75,10.25,3.0658014,12.401711008907144,572.4234892129898,0.3407483993012921,2496231248.0,1151.4465250968933
1998,45.75,10.25,3.6941955,12.265288022608539,590.4053262472153,0.3651660460662218,2420774582.0,1050.2813181877136
1999,45.75,10.25,3.3932414,12.472086389080372,572.2022860050201,0.37013113946696513,2281298899.0,968.8492810726166
2000,45.75,10.25,3.6805832,12.693286839653464,602.9848101139069,0.36123690476604536,2392321022.0,1071.154206752777
2001,45.75,10.25,2.601096,12.671899786182479,695.1453437805176,0.36398524338123844,2287087268.5,1024.9258060455322
2002,45.75,10.25,3.3597078,12.650835062164107,759.4857804775238,0.3694617933307598,2300907534.0,963.9243316650391
2003,45.75,10.25,3.2658958,13.941750788221173,344.9023903608322,0.31744447740074855,2540045255.0,1250.092541694641
2004,45.75,10.25,3.4228108,11.578751777511796,662.0337393283844,0.3794274741138508,2310301396.0,958.8453934192657
2005,45.75,10.25,3.9689052,12.582127215815525,518.4878332614899,0.3602826018738591,2392000469.0,1046.9790215492249
2006,45.75,10.25,4.052494,12.660545247832156,427.2439486980438,0.34093666894763125,2393964670.0,1103.9618592262268
2007,45.75,10.25,3.080965,13.798784514657813,560.9347910881042,0.3507131242674161,2422084207.0,1111.715036392212
2008,45.75,10.25,3.5297704,12.46173899469812,729.3243942260742,0.37709907456940295,2243619311.0,945.9406085014343
2009,45.75,10.25,3.965989,13.14997736924614,655.5673485994339,0.3614277376068963,2378664763.0,1042.374083995819
2010,45.75,10.25,3.6514785,12.171122412276423,714.4486665725708,0.37377305669722216,2212979566.0,923.7271180152893
2011,45.75,10.25,3.9599621,12.99762176064884,635.5011677742004,0.36288955944036344,2376300545.0,1023.1487669944763
2012,45.75,10.25,3.869693,12.958745049495324,637.2357940673828,0.3577413323268392,2411458675.0,1054.132824420929
2013,45.75,10.25,3.8093293,11.868495922462612,844.1017236709595,0.384790052775464,2142855067.0,866.7039687633514
2014,45.75,10.25,3.4321048,12.779336863873052,715.806360244751,0.36691751238567377,2360153528.0,1018.3401713371277
2015,45.75,10.25,2.9138587,14.015848555596046,497.1395801305771,0.35139574120247286,2360301976.0,1096.5314774513245
2016,45.75,10.25,3.7290184,12.910591792436986,671.8621098995209,0.3688487243029027,2342782985.0,1006.4457478523254
1982,45.75,10.75,2.371162,12.967299034392912,495.78681540489197,0.35376765953949074,2269052270.0,738.6539652347565
1983,45.75,10.75,2.736358,13.378213605070426,603.1926556825638,0.35988687650830137,2301477258.0,737.6409087181091
1984,45.75,10.75,3.3524714,11.14161729656793,609.0547659397125,0.36501698536810534,2224180990.0,680.9454464912415
1985,45.75,10.75,3.1669676,11.973170671587676,715.6775758266449,0.3766201157975041,2169902585.0,653.2892649173737
1986,45.75,10.75,2.903816,12.701499493293513,598.8273060321808,0.3702651955722983,2144879520.0,645.5388498306274
1987,45.75,10.75,3.4412177,11.671251663195541,633.2159696817398,0.3712116466238608,2302178379.0,699.5277209281921
1988,45.75,10.75,2.5089314,12.79274182537802,600.4728944301605,0.37183329852577907,2258718107.0,675.310662984848
1989,45.75,10.75,3.2417295,12.99379298889559,694.8859046697617,0.36932901521913364,2287669908.0,699.096776008606
1990,45.75,10.75,3.0780306,13.514194432426901,527.1484256982803,0.35725101088386735,2366561215.0,771.6705408096313
1991,45.75,10.75,3.7350338,12.668839149225771,627.3020491600037,0.3684694807903439,2287121393.0,707.1495108604431
1992,45.75,10.75,3.6461,13.165040969848633,503.26773262023926,0.35356126521147935,2283469830.0,727.5420372486115
1993,45.75,10.75,3.9573982,13.184082386540432,501.5074715614319,0.3582592012445911,2429709152.0,790.3916528224945
1994,45.75,10.75,3.7868433,14.338862986346475,405.7640937566757,0.34864072686706493,2406775978.0,816.0278038978577
1995,45.75,10.75,2.733609,12.75235489926307,586.9989080429077,0.36208784521794785,2400462575.0,751.9288184642792
1996,45.75,10.75,3.644178,12.830174896452162,481.4426124095917,0.3567446037834766,2341278066.0,763.7378203868866
1997,45.75,10.75,2.9370966,13.382271526685727,564.6406592726707,0.3416428260164323,2550082171.0,862.6782002449036
1998,45.75,10.75,3.8671849,13.358923472610174,560.958087682724,0.35966696322353836,2474739972.0,812.6566736698151
1999,45.75,10.75,3.2545133,13.51890039755628,566.9457771778107,0.3674021906712476,2336947527.0,740.1523823738098
2000,45.75,10.75,3.660878,13.884333018383948,549.914623260498,0.3581427534421285,2479770642.0,821.8611407279968
2001,45.75,10.75,2.876455,13.79018632103415,650.0021734237671,0.3619639324206932,2375547991.0,784.4934740066528
2002,45.75,10.75,3.4108477,13.722441545498917,771.4991128444672,0.36391984715181236,2369479328.0,745.8988833427429
2003,45.75,10.75,3.2068539,14.94600600822299,338.94048726558685,0.32242021587939046,2610071194.0,925.627982378006
2004,45.75,10.75,3.2649138,12.638599445617277,584.2477066516876,0.3695119518080568,2354055298.0,733.8362720012665
2005,45.75,10.75,3.9956937,13.598081965851629,510.49122071266174,0.3583175800984202,2460946593.0,792.9394397735596
2006,45.75,10.75,3.9663968,13.694661050060995,384.50617158412933,0.33666344249949737,2438352760.0,826.9848713874817
2007,45.75,10.75,3.2161307,14.894516960468168,518.7669880390167,0.3492143430741005,2472775336.0,856.007061958313
2008,45.75,10.75,3.5410004,13.540327103309382,669.3704624176025,0.3709888958853055,2325432346.0,737.9064862728119
2009,45.75,10.75,4.352145,14.2526602589227,571.931121468544,0.35221736084401994,2417755053.0,796.0007567405701
2010,45.75,10.75,3.7461748,13.377708562838485,666.1129984855652,0.3687484120231828,2288627774.5,713.5308076143265
2011,45.75,10.75,4.3493204,14.138916218202878,533.3208429813385,0.3499668686608084,2445425404.0,804.5200517177582
2012,45.75,10.75,4.4639754,14.00845533570433,587.4639617800713,0.358370160160501,2495034030.0,817.1715364456177
2013,45.75,10.75,4.049954,12.888855622484794,812.3289756774902,0.37672486161094865,2196851809.0,682.1198282241821
2014,45.75,10.75,3.7164712,13.871062397177703,663.9037656784058,0.3630446830606149,2420096518.0,790.2144260406494
2015,45.75,10.75,3.3649783,15.068206656212901,447.3326358795166,0.3454221979854933,2421756465.0,847.3543224334717
2016,45.75,10.75,3.919651,14.051787211224923,619.0127971172333,0.363344997946733,2390897802.0,780.1032066345215
1982,45.75,11.25,3.6035726,12.466891011381461,498.04893612861633,0.3534195023814058,2203366984.0,1023.3380522727966
1983,45.75,11.25,3.6459591,13.160941504185496,605.4918838739395,0.3588183249523437,2267643202.0,1047.367660522461
1984,45.75,11.25,3.5458078,10.70615424050225,646.3846068382263,0.368106084516625,2163522861.0,958.7293691635132
1985,45.75,11.25,3.8758564,11.652962274800718,729.2804770469666,0.382143130878997,2121964620.5,907.8757462501526
1986,45.75,11.25,3.3896158,12.319216684578292,596.8726327419281,0.37199704612002654,2130443264.0,923.1699616909027
1987,45.75,11.25,4.867866,11.22970603727827,655.9793679714203,0.3763576048651552,2252320002.0,973.9387910366058
1988,45.75,11.25,3.1687222,12.322897443584367,662.574226140976,0.3763406829896316,2217412485.0,947.7564415931702
1989,45.75,11.25,3.6794472,12.564596930360482,820.4662054777145,0.3755974029403886,2207277763.0,948.9228496551514
1990,45.75,11.25,3.887675,12.98741113749984,572.0653786659241,0.3602217332599989,2302108788.0,1045.5286841392517
1991,45.75,11.25,4.640035,12.217495039397596,683.7250239849091,0.36749203980358597,2210686501.0,973.9223346710205
1992,45.75,11.25,4.802152,12.663307186824824,553.6244642734528,0.35520224029721775,2224076199.0,998.8869075775146
1993,45.75,11.25,5.2437744,12.822122704749013,470.919349193573,0.35571571171673294,2369421041.0,1110.2660775184631
1994,45.75,11.25,4.4392257,13.914549790176691,424.41079050302505,0.34941371126112597,2326851082.0,1122.4377946853638
1995,45.75,11.25,3.8153296,12.31563995242898,679.2119741439819,0.3649644931547003,2326045166.0,1035.0437207221985
1996,45.75,11.25,5.027521,12.378953531676649,501.81166326999664,0.35843506046369966,2296895236.0,1059.8788528442383
