lat,lon,year,soil_water
44.75,11.25,1991,0.23727393
44.75,11.25,1992,0.2077661
44.75,11.25,1993,0.21543665
44.75,11.25,1994,0.2571366
44.75,11.25,1995,0.28865394
44.75,11.25,1996,0.25554994
44.75,11.25,1997,0.23220277
44.75,11.25,1998,0.22628358
44.75,11.25,1999,0.26575452
44.75,11.25,2000,0.22053036
44.75,11.25,2001,0.24992676
44.75,11.25,2002,0.32343823
44.75,11.25,2003,0.1928324
44.75,11.25,2004,0.24712208
44.75,11.25,2005,0.2719844
44.75,11.25,2006,0.250474
44.75,11.25,2007,0.22532924
44.75,11.25,2008,0.2663501
44.75,11.25,2009,0.2394054
44.75,11.25,2010,0.31127977
44.75,11.25,2011,0.22949538
44.75,11.25,2012,0.23150733
44.75,11.25,2013,0.2703844
44.75,11.25,2014,0.30730164
44.75,11.25,2015,0.2393301
44.75,11.25,2016,0.2686028
44.75,11.75,1982,0.23660374
44.75,11.75,1983,0.22294554
44.75,11.75,1984,0.2704864
44.75,11.75,1985,0.20999572
44.75,11.75,1986,0.23277013
44.75,11.75,1987,0.202234
44.75,11.75,1988,0.24715845
44.75,11.75,1989,0.2744436
44.75,11.75,1990,0.22179297
44.75,11.75,1991,0.22655699
44.75,11.75,1992,0.19168055
44.75,11.75,1993,0.20147815
44.75,11.75,1994,0.2242394
44.75,11.75,1995,0.27400988
44.75,11.75,1996,0.23950998
44.75,11.75,1997,0.21920994
44.75,11.75,1998,0.20729224
44.75,11.75,1999,0.24304858
44.75,11.75,2000,0.19213136
44.75,11.75,2001,0.227213
44.75,11.75,2002,0.3007837
44.75,11.75,2003,0.18198475
44.75,11.75,2004,0.22789843
44.75,11.75,2005,0.2581284
44.75,11.75,2006,0.24348083
44.75,11.75,2007,0.21173084
44.75,11.75,2008,0.25375015
44.75,11.75,2009,0.22213879
44.75,11.75,2010,0.29455918
44.75,11.75,2011,0.20094506
44.75,11.75,2012,0.20883775
44.75,11.75,2013,0.247474
44.75,11.75,2014,0.29031116
44.75,11.75,2015,0.21918993
44.75,11.75,2016,0.26209864
45.25,6.75,1982,0.40482616
45.25,6.75,1983,0.4145574
45.25,6.75,1984,0.41051817
45.25,6.75,1985,0.380787
45.25,6.75,1986,0.39109105
45.25,6.75,1987,0.39631385
45.25,6.75,1988,0.38996425
45.25,6.75,1989,0.38909557
45.25,6.75,1990,0.36211902
45.25,6.75,1991,0.3663225
45.25,6.75,1992,0.39184314
45.25,6.75,1993,0.39606872
45.25,6.75,1994,0.40375194
45.25,6.75,1995,0.42100376
45.25,6.75,1996,0.42078835
45.25,6.75,1997,0.40460587
45.25,6.75,1998,0.37766394
45.25,6.75,1999,0.40864548
45.25,6.75,2000,0.38460144
45.25,6.75,2001,0.39328736
45.25,6.75,2002,0.41681617
45.25,6.75,2003,0.35235447
45.25,6.75,2004,0.3791549
45.25,6.75,2005,0.39848524
45.25,6.75,2006,0.39810804
45.25,6.75,2007,0.3822733
45.25,6.75,2008,0.3883706
45.25,6.75,2009,0.37478834
45.25,6.75,2010,0.3972272
45.25,6.75,2011,0.39821213
45.25,6.75,2012,0.3847207
45.25,6.75,2013,0.39312196
45.25,6.75,2014,0.41504806
45.25,6.75,2015,0.3798229
45.25,6.75,2016,0.38267714
45.25,7.25,1982,0.33693457
