lat,lon,year,solar_radiation
45.25,7.75,2010,57298056768.0
45.25,7.75,2011,59107715928.0
45.25,7.75,2012,56452425504.0
45.25,7.75,2013,59885610720.0
45.25,7.75,2014,55976272896.0
45.25,7.75,2015,56522314920.0
45.25,7.75,2016,60658508544.0
45.25,8.25,1982,56214104352.0
45.25,8.25,1983,56408114256.0
45.25,8.25,1984,55236356616.0
45.25,8.25,1985,57655625808.0
45.25,8.25,1986,57011905008.0
45.25,8.25,1987,58937670216.0
45.25,8.25,1988,56978893392.0
45.25,8.25,1989,60752293392.0
45.25,8.25,1990,60486978048.0
45.25,8.25,1991,61394580840.0
45.25,8.25,1992,56084288784.0
45.25,8.25,1993,58996870920.0
45.25,8.25,1994,56990791488.0
45.25,8.25,1995,59090542368.0
45.25,8.25,1996,57460309992.0
45.25,8.25,1997,58648298736.0
45.25,8.25,1998,61500934848.0
45.25,8.25,1999,56343935376.0
45.25,8.25,2000,59993568120.0
45.25,8.25,2001,61238738472.0
45.25,8.25,2002,55969127040.0
45.25,8.25,2003,63808799280.0
45.25,8.25,2004,61704441648.0
45.25,8.25,2005,60827895936.0
45.25,8.25,2006,62114940912.0
45.25,8.25,2007,60557597016.0
45.25,8.25,2008,57105835056.0
45.25,8.25,2009,62055815616.0
45.25,8.25,2010,58738548624.0
45.25,8.25,2011,61318334736.0
45.25,8.25,2012,59096405496.0
45.25,8.25,2013,60852802776.0
45.25,8.25,2014,57831266952.0
45.25,8.25,2015,58471759512.0
45.25,8.25,2016,61529019216.0
45.25,8.75,1982,57381613152.0
45.25,8.75,1983,57690401880.0
45.25,8.75,1984,56398506384.0
45.25,8.75,1985,58896152112.0
45.25,8.75,1986,58442118168.0
45.25,8.75,1987,60186552336.0
45.25,8.75,1988,58390709088.0
45.25,8.75,1989,61483206888.0
45.25,8.75,1990,61131323952.0
45.25,8.75,1991,61780305504.0
45.25,8.75,1992,57786533544.0
45.25,8.75,1993,60088373616.0
45.25,8.75,1994,58613712720.0
45.25,8.75,1995,60099059448.0
45.25,8.75,1996,58549021800.0
45.25,8.75,1997,59865435600.0
45.25,8.75,1998,62273193936.0
45.25,8.75,1999,57798374040.0
45.25,8.75,2000,61307827440.0
45.25,8.75,2001,61871246736.0
45.25,8.75,2002,56855074728.0
45.25,8.75,2003,64572703392.0
45.25,8.75,2004,62382123672.0
45.25,8.75,2005,61327999176.0
45.25,8.75,2006,63533103648.0
45.25,8.75,2007,61152752640.0
45.25,8.75,2008,58398485328.0
