year,lat,lon,yield_wheat_spring,temperature,precipitation,soil_water,solar_radiation,potential_evaporation,temperature_Mar,temperature_Apr,temperature_May,temperature_Jun,temperature_Jul,precipitation_Mar,precipitation_Apr,precipitation_May,precipitation_Jun,precipitation_Jul,soil_water_Mar,soil_water_Apr,soil_water_May,soil_water_Jun,soil_water_Jul,solar_radiation_Mar,solar_radiation_Apr,solar_radiation_May,solar_radiation_Jun,solar_radiation_Jul,potential_evaporation_Mar,potential_evaporation_Apr,potential_evaporation_May,potential_evaporation_Jun,potential_evaporation_Jul
1997,45.25,11.75,2.3295524,16.840162040361392,343.96585661172867,0.2914371015199649,2563864973.0,907.3425269126892,10.252113,11.510893,18.333477,21.223246,22.85056,26.741532146930695,67.8272294998169,47.78500247001648,116.43223285675049,85.17985963821411,0.31318176,0.2757141,0.28544983,0.29019225,0.29210022,410082477.0,488674470.0,571867292.0,509204640.0,584036094.0,115.60903978347778,173.36380004882812,219.65084743499756,191.24672412872314,207.4721155166626
1998,45.25,11.75,2.9860845,17.218638688131094,318.5030929148197,0.28537235209365297,2542121479.0,918.7463326454163,8.375175,12.671656,17.628279,22.350443,25.086506,8.086624771356583,107.48594284057617,77.5349223613739,69.22670602798462,56.16889691352844,0.29207274,0.33289918,0.3165454,0.28523746,0.20163575,399466651.0,416915430.0,540693134.0,589898220.0,595148044.0,126.55848979949951,129.99751567840576,190.51740884780884,214.38766479492188,257.2852535247803
1999,45.25,11.75,2.839554,17.2520334642697,396.14895391464233,0.3202010942440407,2449398088.0,838.3410701751709,9.098622,13.137442,18.441778,21.446915,24.138,55.59730839729309,123.01823616027832,81.81660342216492,73.27235698699951,62.444448947906494,0.34463745,0.37867677,0.35832152,0.28536987,0.23476258,358018411.0,435637980.0,509529547.0,577504440.0,568707710.0,95.51457262039185,125.1958179473877,167.26436376571655,211.9389009475708,238.427414894104
2000,45.25,11.75,3.1300318,18.007617482952043,287.6549743413925,0.27148378031705717,2559893730.0,955.9625332355499,9.190679,14.3474865,19.814302,23.661877,23.08807,69.2769627571106,54.72984552383423,40.34043824672699,49.856940507888794,73.45078730583191,0.32885376,0.34878358,0.25028566,0.19912048,0.23053467,376965146.0,457990140.0,550643700.0,595691400.0,578603344.0,101.36206889152527,142.7561902999878,208.4508581161499,265.96601486206055,237.42740106582642
2001,45.25,11.75,2.2191355,17.4050000383963,395.17269563674927,0.31543900238143074,2445064856.0,839.6509785652161,10.622398,11.634217,19.248774,21.302034,24.157133,121.05853199958801,69.47891235351562,47.705793380737305,68.07689666748047,88.85256123542786,0.39639038,0.38287172,0.31058168,0.26075315,0.22700927,282629046.0,452207340.0,561334670.0,589284900.0,559608900.0,79.74956178665161,131.85287475585938,187.84920740127563,219.69939708709717,220.49993753433228
2002,45.25,11.75,3.0639741,17.411512144250807,570.5717505216599,0.3382818665769365,2432540549.0,810.8938302993774,10.536763,12.65486,17.87556,22.943277,23.072104,16.37103021144867,118.10998678207397,156.587965965271,95.68161249160767,183.82115507125854,0.32330447,0.34348574,0.37388855,0.31693846,0.33327147,397530298.0,418280160.0,504561611.0,563343240.0,548825240.0,111.12939882278442,139.77388858795166,157.54112100601196,205.25463581085205,197.19478607177734
2003,45.25,11.75,2.3214617,18.668138385598176,237.9278244972229,0.25680850641010633,2630155984.0,972.9909429550171,8.971965,11.778395,20.118462,26.408957,26.090368,19.31262570619583,100.78792333602905,30.004114031791687,57.89942979812622,29.92373162508011,0.32461792,0.349989,0.23665099,0.18818054,0.1853961,411776410.0,439312950.0,600826996.0,590949960.0,587289668.0,105.15459299087524,143.4133815765381,224.38830041885376,237.02170372009277,263.0129642486572
2004,45.25,11.75,2.6638558,16.400123798769283,373.9176821708679,0.31911971395701366,2492230376.0,842.603212594986,7.6177545,12.717607,15.862376,21.468876,24.378723,102.79170536994934,88.76766443252563,74.89490270614624,66.98525905609131,40.478150606155396,0.39723143,0.37853882,0.3479895,0.27469116,0.19763122,320705850.0,426225540.0,565688744.0,583484520.0,596125722.0,82.52035737037659,121.2824535369873,179.05198001861572,210.7836627960205,248.96475887298584
2005,45.25,11.75,3.328529,17.12801102719276,330.60216838121414,0.3025188344755983,2537846360.0,875.4005789756775,7.583014,12.172472,18.254887,23.174992,24.489899,29.537420094013214,105.77309131622314,75.31417059898376,38.59145164489746,81.38603472709656,0.3561316,0.36455566,0.32513854,0.21637145,0.24961916,361072996.0,447956970.0,577042308.0,579104700.0,572669386.0,86.18172121047974,134.9604034423828,192.9312868118286,237.0411729812622,224.28599452972412
2006,45.25,11.75,3.2728014,17.492897931267233,261.49438440799713,0.2931157418715408,2553805997.0,892.7965288162231,7.0739098,13.148424,17.5275,22.863277,26.884472,56.63034510612488,87.48251438140869,63.85857915878296,18.55619788169861,34.966747879981995,0.38738889,0.36375913,0.33141604,0.21132386,0.17133117,339058563.0,433637370.0,534951624.0,629190240.0,616968200.0,85.19026613235474,122.17037200927734,172.5252013206482,247.7925682067871,265.11812114715576
