year,lat,lon,yield_wheat_winter,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
2012,44.75,11.25,3.597073,10.6353367262907,376.9495527148247,0.30229642557999725,2568394949.5,857.5577836632729
2013,44.75,11.25,2.9634643,9.72126540763319,829.2641623020172,0.38697854447955926,2300885852.0,639.8993412852287
2014,44.75,11.25,3.2190404,11.773010856849103,675.7840164899826,0.35663884360928183,2494312529.0,764.4275804162025
2015,44.75,11.25,3.5293298,11.579136891798539,671.2849219441414,0.3626467400838521,2500194703.75,768.4357703328133
2016,44.75,11.25,3.440391,11.293361126150124,551.6406374648213,0.3417478499343856,2545326513.5,770.30870616436
1982,44.75,11.75,1.9226159,9.780444091016596,367.3688434958458,0.3243638293063345,2548079228.25,853.1695907115936
1983,44.75,11.75,2.1089892,10.606272012734216,441.3383759856224,0.3268739330497655,2476331235.0,828.3408849239349
1984,44.75,11.75,2.0559242,8.992487151926928,520.8917865753174,0.321501838449588,2417821998.5,805.4301643371582
1985,44.75,11.75,1.8579756,9.520383768584118,536.2376074790955,0.34671705468627045,2325325701.25,758.4711195230484
1986,44.75,11.75,1.9083829,10.157881929854716,554.0930235385895,0.3345278513825629,2371459159.0,778.5435465574265
1987,44.75,11.75,2.6125276,9.339163267908017,450.08453929424286,0.31085897304795007,2542159290.5,862.2548315525055
1988,44.75,11.75,2.152274,10.767935986381499,567.7680114507675,0.34420061160507515,2438690162.75,764.6033147573471
1989,44.75,11.75,1.6790878,10.135910682934375,350.06807355582714,0.26639670072015653,2618984275.0,877.3112161159515
1990,44.75,11.75,1.8443494,10.95442212613161,346.04603031277657,0.2726384522008502,2609039375.0,880.861511349678
1991,44.75,11.75,2.3827138,9.416205262349656,505.0591478943825,0.33297449941477497,2486616472.5,779.4972198009491
1992,44.75,11.75,2.4515116,9.944510237179665,375.66024073958397,0.29283051333800264,2559224883.0,876.6521996855736
1993,44.75,11.75,2.4371138,10.852897506114864,398.9372156560421,0.2980215921382274,2617348529.25,898.4007531404495
1994,44.75,11.75,2.4586678,11.073319504083681,487.3402461707592,0.3195599166076045,2528587244.5,884.4769906997681
1995,44.75,11.75,2.2632818,10.65533818587784,544.8115360736847,0.31603201546452264,2504798292.75,829.3695489168167
1996,44.75,11.75,1.8218516,10.582433321839007,507.5959042310715,0.32353252957387224,2485324448.75,883.8279023766518
1997,44.75,11.75,1.6491388,11.149988574429978,468.6912523508072,0.3168541372807558,2635111955.0,968.8296167850494
1998,44.75,11.75,2.6000097,11.485735205579395,440.855521440506,0.30267743076667314,2610839727.5,965.7221906781197
1999,44.75,11.75,2.486811,10.57990855815982,444.5182423591614,0.3137140176759278,2574874092.5,926.8302791118622
2000,44.75,11.75,2.3121135,11.096715266812485,382.47380378842354,0.29498963333942274,2671603450.0,981.639163851738
2001,44.75,11.75,1.930301,11.795359047976406,565.6516880989075,0.3433113119080047,2515490172.25,882.396900177002
2002,44.75,11.75,2.2987595,10.633879446293697,457.52811324596405,0.30049941682618514,2584100479.0,881.5415707230568
2003,44.75,11.75,1.7930323,11.685882976232481,442.40109062194824,0.31359872197316696,2699728535.0,971.4864706993103
2004,44.75,11.75,2.0439878,10.42263832406252,645.4128786325455,0.3436131098388154,2485768438.5,838.3590078353882
2005,44.75,11.75,2.9318337,10.542852120951187,437.22703248262405,0.32438387740249475,2663692082.0,924.3205125331879
2006,44.75,11.75,2.5079916,10.204607384263976,479.956516623497,0.3452244393589083,2552729810.25,868.5303325653076
2007,44.75,11.75,2.7213612,12.72397966818376,384.474813580513,0.2818215164271268,2621675532.0,938.5270570516586
2008,44.75,11.75,3.2789416,10.962252904358223,504.9156519174576,0.32131089313040057,2507651075.75,841.6535283327103
2009,44.75,11.75,2.634207,11.396211902957317,579.825732588768,0.33315819883642117,2523621139.5,898.2251297235489
2010,44.75,11.75,2.476503,10.306900824397063,741.9152476787567,0.36351932018748984,2370739141.0,742.1744574308395
